City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,makary,12.5717,14.4666,301.85,62,87,3.35,CM,1689896827
147,carbonear,47.7332,-53.2148,298.06,93,16,3.9,CA,1689896827
148,wailua homesteads,22.0669,-159.378,303.59,70,20,8.75,US,1689896827
149,phang nga,8.4509,98.5298,298.17,96,94,1.28,TH,1689896828
150,sao joao da barra,-21.6403,-41.0511,293.2,77,100,2.41,BR,1689896734
151,vilyuchinsk,52.9306,158.4028,286.3,90,100,0.5,RU,1689896828
152,fort bragg,35.139,-79.006,304.23,70,0,0.45,US,1689896796
153,howard springs,-12.497,131.047,294.72,53,22,3.23,AU,1689896829
154,puerto ayora,-0.7393,-90.3518,299.01,93,44,2.24,EC,1689896613
155,jamestown,42.097,-79.2353,295.92,85,75,10.8,US,1689896762
156,margate,51.3813,1.3862,288.88,90,93,0.45,GB,1689896830
157,bakchar,57.0186,82.0711,289.03,98,59,2.35,RU,1689896830
158,tadine,-21.55,167.8833,294.88,60,0,7.91,NC,1689896831
159,kavaratti,10.5669,72.642,301.2,80,100,9.7,IN,1689896832
160,vila velha,-20.3297,-40.2925,295.12,86,100,3.09,BR,1689896834
161,kolonia town,6.964,158.206,298.21,100,100,5.14,FM,1689896834
162,touros,-5.1989,-35.4608,296.86,76,13,6.26,BR,1689896835
163,arteche,12.2645,125.4048,300.57,83,90,0.54,PH,1689896836
164,ambon,-3.6954,128.1814,302.17,100,40,1.03,ID,1689896838
165,ust-nera,64.5667,143.2,300.67,36,66,2.74,RU,1689896595
166,sodra sandby,56.5667,16.6167,286.42,85,51,5.96,SE,1689896840
167,sinabang,2.4803,96.3801,298.2,85,92,1.75,ID,1689896783
168,lihue,21.9789,-159.3672,303.92,62,20,8.75,US,1689896800
169,diffa,13.3154,12.6113,301.06,61,90,5.61,NE,1689896843
170,mo i rana,66.3128,14.1428,285.41,89,75,1.03,NO,1689896846
171,olyokminsk,60.3736,120.4264,291.93,79,100,2.07,RU,1689896847
172,garoua boulai,5.8833,14.55,291.88,95,100,0.42,CM,1689896848
173,aldan,58.6031,125.3894,285.13,84,100,3.06,RU,1689896849
174,broome,42.2506,-75.833,299.2,72,52,2.75,US,1689896791
175,mirpur sakro,24.5474,67.6277,301.95,81,100,3.08,PK,1689896853
176,chela,34.069,104.4619,287.2,85,0,2.08,CN,1689896854
177,luderitz,-26.6481,15.1594,288.09,46,0,1.72,NA,1689896855
178,portsmouth,50.799,-1.0913,288.69,80,73,1.34,GB,1689896855
179,lompoc,34.6391,-120.4579,304.65,78,75,4.12,US,1689896856
180,st. john's,47.5649,-52.7093,297.81,78,40,5.14,CA,1689896725
181,lianga,8.6336,126.0947,300.02,85,84,1.22,PH,1689896857
182,alakurtti,66.9672,30.3491,284.67,88,100,2.58,RU,1689896857
183,karratha,-20.7377,116.8463,293.49,57,8,10.23,AU,1689896858
184,kuqa,41.7278,82.9364,302.28,26,100,2.16,CN,1689896858
185,ozalp,38.6548,43.993,289.59,39,11,2.08,TR,1689896859
186,yurgamysh,55.3714,64.4656,288.59,83,84,3.79,RU,1689896859
187,ketchikan,55.3422,-131.6461,294.41,64,40,4.12,US,1689896779
188,gharo,24.7424,67.5856,303.27,81,100,2.62,PK,1689896859
189,coquimbo,-29.9533,-71.3436,287.0,94,100,3.09,CL,1689896621
190,mananjary,-21.2167,48.3333,290.96,99,23,1.26,MG,1689896860
191,kapit,2.0167,112.9333,296.72,98,100,0.6,MY,1689896860
192,ulladulla,-35.35,150.4667,286.22,56,42,2.1,AU,1689896861
193,general villegas,-35.0328,-63.0125,286.43,59,100,6.98,AR,1689896861
194,verkhnevilyuysk,63.4453,120.3167,293.29,62,45,1.64,RU,1689896861
195,flying fish cove,-10.4217,105.6791,296.97,78,100,5.66,CX,1689896862
196,weno,7.4515,151.8468,302.12,84,100,3.6,FM,1689896862
197,phan rang-thap cham,11.5667,108.9833,300.25,85,73,0.81,VN,1689896805
198,ola,59.5833,151.2833,296.01,61,14,3.31,RU,1689896863
199,san patricio,28.017,-97.5169,308.81,52,46,6.86,US,1689896756
200,lakki,32.6079,70.9114,305.74,56,13,1.18,PK,1689896865
201,ingeniero jacobacci,-41.3427,-69.5448,279.25,82,100,7.68,AR,1689896866
202,cidreira,-30.1811,-50.2056,290.38,90,100,7.25,BR,1689896867
203,piti village,13.4626,144.6933,304.64,73,20,5.14,GU,1689896868
204,boende,-0.2167,20.8667,297.69,69,59,1.1,CD,1689896871
205,arfoud,31.4348,-4.2375,305.66,12,10,2.0,MA,1689896872
206,kanigiri,15.4,79.5167,300.23,67,100,8.19,IN,1689896873
207,harstad,68.799,16.5293,286.93,93,43,2.0,NO,1689896874
208,baza,37.4907,-2.7726,300.05,25,10,2.45,ES,1689896875
209,kidal,18.4411,1.4078,307.02,36,43,3.66,ML,1689896876
210,kargopol',61.5071,38.9456,286.95,98,100,5.3,RU,1689896877
211,hadibu,12.65,54.0333,298.17,81,95,10.14,YE,1689896628
212,mata-utu,-13.2816,-176.1745,301.14,81,100,4.77,WF,1689896639
213,brookings,44.3114,-96.7984,297.73,59,40,3.6,US,1689896879
214,nizhniy kuranakh,58.8353,125.4869,287.01,87,100,2.88,RU,1689896880
215,pascagoula,30.3658,-88.5561,307.18,66,0,2.57,US,1689896881
216,san martin,-33.081,-68.4681,285.45,43,34,3.62,AR,1689896882
217,kodiak,57.79,-152.4072,286.88,82,0,2.57,US,1689896594
218,santa cruz,-17.8,-63.1667,296.18,68,0,6.69,BO,1689896749
219,tromso,69.6496,18.957,283.36,87,0,3.6,NO,1689896614
220,port macquarie,-31.4333,152.9167,289.45,41,7,2.01,AU,1689896885
221,dubbo,-32.25,148.6167,280.22,93,100,1.54,AU,1689896885
222,quellon,-43.1167,-73.6167,285.29,82,75,4.63,CL,1689896885
223,yorkton,51.2167,-102.4677,299.06,36,0,2.06,CA,1689896886
224,haenam,34.5711,126.5989,299.16,78,34,2.97,KR,1689896887
225,constitucion,-35.3333,-72.4167,286.03,91,100,10.53,CL,1689896757
226,enewetak,11.3474,162.3373,302.0,79,58,6.35,MH,1689896767
227,codajas,-3.8367,-62.0569,301.35,50,49,1.13,BR,1689896889
228,flin flon,54.7682,-101.865,300.06,39,20,3.09,CA,1689896889
229,santana,-0.0583,-51.1817,299.25,89,0,2.57,BR,1689896884
230,dudinka,69.4058,86.1778,290.72,97,72,4.07,RU,1689896618
231,rio guayabal de yateras,20.3667,-75.0167,298.41,83,95,1.81,CU,1689896890
232,manta,-0.95,-80.7333,301.03,78,40,6.71,EC,1689896776
233,ambovombe,-25.1667,46.0833,292.53,79,60,6.27,MG,1689896890
234,pyapon,16.2833,95.6833,298.24,93,99,2.16,MM,1689896890
235,ironwood,46.4547,-90.171,292.6,68,0,2.57,US,1689896891
236,cockburn town,21.4612,-71.1419,301.04,82,98,8.24,TC,1689896892
237,west island,-12.1568,96.8225,298.14,73,40,6.17,CC,1689896893
238,piacabucu,-10.4056,-36.4344,296.18,85,56,5.76,BR,1689896894
239,bonthe,7.5264,-12.505,298.67,87,100,2.68,SL,1689896831
240,keflavik,64.0049,-22.5624,285.1,93,75,0.51,IS,1689896796
241,belozersk,60.0326,37.7957,286.39,83,100,6.73,RU,1689896896
242,carnarvon,-24.8667,113.6333,285.45,44,1,7.9,AU,1689896897
243,hammerfest,70.6634,23.6821,281.4,93,75,4.63,NO,1689896897
244,hamilton,39.1834,-84.5333,303.12,73,40,4.12,US,1689896721
245,zyryanovsk,49.7386,84.2719,289.39,88,9,0.39,KZ,1689896898
246,sillamae,59.3997,27.7547,285.88,86,20,5.68,EE,1689896898
247,alice springs,-23.7,133.8833,285.9,58,0,4.63,AU,1689896762
248,kayangel,8.0823,134.7173,302.08,77,100,7.69,PW,1689896900
249,port saint john's,-31.6229,29.5448,285.3,69,90,3.16,ZA,1689896901
250,ritchie,-29.038,24.6028,282.71,73,50,12.15,ZA,1689896901
251,diamond springs,38.6946,-120.8149,310.96,20,0,2.06,US,1689896902
252,inarajan village,13.2736,144.7484,304.69,82,48,5.15,GU,1689896903
253,bac lieu,9.285,105.7244,298.53,90,100,5.58,VN,1689896904
254,niwai,26.35,75.9167,303.31,66,37,1.61,IN,1689896904
255,gorontalo,0.5412,123.0595,300.45,78,8,2.18,ID,1689896905
256,new norfolk,-42.7826,147.0587,282.43,69,30,1.38,AU,1689896906
257,porto novo,6.4965,2.6036,299.05,85,96,3.69,BJ,1689896800
258,ramgarh,23.6333,85.5167,299.44,87,46,3.87,IN,1689896911
259,gadzhiyevo,69.2551,33.3362,281.69,87,100,6.63,RU,1689896912
260,jining,35.405,116.5814,298.79,89,100,4.92,CN,1689896913
261,lazaro cardenas,17.9583,-102.2,303.47,76,63,4.36,MX,1689896776
262,fort st. john,56.2499,-120.8529,300.09,32,75,1.54,CA,1689896914
263,campanario,38.8644,-5.6174,292.25,50,0,4.33,ES,1689896916
264,nantucket,41.2835,-70.0995,300.18,95,12,4.05,US,1689896622
265,la plata,-34.9215,-57.9545,286.38,94,19,3.43,AR,1689896917
266,bargaal,11.2864,51.0773,302.52,56,95,10.79,SO,1689896828
267,enriquillo,17.9,-71.2333,303.97,89,0,4.69,DO,1689896920
268,turpan,42.9333,89.1667,307.93,24,89,2.12,CN,1689896920
269,belmonte,-15.8631,-38.8828,295.47,85,68,3.7,BR,1689896922
270,sainte-marie,-20.8968,55.5496,294.24,93,75,2.57,RE,1689896923
271,chonchi,-42.6128,-73.8092,283.77,83,61,4.26,CL,1689896651
272,rantepao,-2.9701,119.8978,294.39,92,48,0.64,ID,1689896923
273,dakhla,23.6848,-15.958,293.53,92,1,11.39,EH,1689896924
274,zhuanghe,39.7008,122.9911,299.44,67,94,1.55,CN,1689896924
275,mugia,43.1041,-9.2179,289.77,87,1,1.65,ES,1689896924
276,malango,-2.9627,119.9001,294.4,92,48,0.64,ID,1689896924
277,vorgashor,67.5833,63.95,291.01,86,58,2.61,RU,1689896634
278,oranjemund,-28.55,16.4333,286.45,43,0,2.59,NA,1689896925
279,udachny,66.4167,112.4,287.29,93,72,1.38,RU,1689896925
280,egilsstadir,65.2653,-14.3948,278.1,100,100,2.57,IS,1689896925
281,constantia,44.1833,28.65,294.65,84,97,1.77,RO,1689896646
282,kirakira,-10.4544,161.9205,301.9,79,85,1.57,SB,1689896780
283,mamfe,5.754,9.3123,296.03,98,99,0.3,CM,1689896926
